uniqueID,propId,statusId,cityId,location,street,floor,size,structure,municipality,polygons,ptId,price,coverPhoto,rentOrSale,caseId,caseType,underConstruction,filed,furnished,ceiling,furnishingArray,bldgOptsArray,heatingArray,parkingArray,yearOfConstruction,joineryArray,petsArray,otherArray,availableFrom,firstPublished,pricePerSize,showPdv,oldPrice,isSalonac,isNotLastFloor,isNoElevatorButLow,bedroomsArray,bathroomArray,renovationArray,minLeaseArray,newDevelopment,distanceCenterArray,isFeatured,isLux,newImagePipeline,isRecommended
78517-BR,78517,51,1,"44.81728, 20.47114",Drinčićeva,2_4,60,2.0,Stari grad,"['Stari grad', 'Gundulićev venac', 'Centar', 'Širi centar']",1,450.0,cityexpert.rs_-_nekretnina_id_-_78517-03323-20260519.avif,r,118570,BR,False,0,1,1,"['furAircon', 'furBed', 'furFridge', 'furShower', 'furStove', 'furTV', 'furWasher']",[],"[4, 4]",[5],6,[2],[],[],2026-05-17T22:00:00Z,2026-05-31T11:27:37Z,7.5,,,False,False,True,['r2'],['b1+'],[],[12],False,[],False,False,True,False
72524-BR,72524,51,1,"44.79977, 20.39984",Omladinskih brigada,2_4,40,1.5,Novi Beograd,"['Novi Beograd', 'Blok 70', 'Savski blokovi']",1,550.0,cityexpert.rs_-_nekretnina_id_-_72524_-_0809_-_20250530.jpg,r,118984,BR,False,0,1,2,"['furAircon', 'furCable', 'furFridge', 'furInternet', 'furPullOutBed', 'furShower', 'furStove', 'furWasher']",['bldgOptsIntercom'],"[1, 4]","[3, 4]",6,"[2, 3]","[1, 2]",['adpTerrace'],2026-05-31T10:39:02Z,2026-05-31T10:54:59Z,13.75,,,False,True,True,[],['b1+'],[1],[12],False,['5_10'],False,False,True,False
38829-BR,38829,51,1,"44.8075, 20.44989",Hercegovačka,2_4,95,3.0,Savski venac,"['Savski venac', 'Savski amfiteatar', 'Beograd na vodi']",1,2300.0,cityexpert.rs_-_nekretnina_id_-_38829_-_0021_-_20200505.jpg,r,118983,BR,False,0,1,1,"['furAircon', 'furBed', 'furCable', 'furDishWasher', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furTV', 'furTub', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsSecurity', 'bldgOptsSurveillance']","[1, 1]",[1],5,[1],[],"['adpGarden', 'adpSwimmingPool', 'adpTerrace']",2026-05-31T22:00:00Z,2026-05-31T10:50:11Z,24.210526,,,False,True,True,['r2'],"['b1+', 'b2+']",[2],[12],False,['5'],False,False,True,False
78269-BR,78269,51,1,"44.7668, 20.47998",Jovanička,PR,37,1.0,Voždovac,"['Voždovac', 'Gornji Voždovac']",1,350.0,cityexpert.rs_-_nekretnina_id_-_78269-03688-20260504.avif,r,117986,BR,False,0,1,1,"['furAircon', 'furFridge', 'furPullOutBed', 'furStove', 'furTV', 'furTub', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsSurveillance']","[1, 4]",[4],6,[3],"[1, 2]",['adpTerrace'],2026-05-03T22:00:00Z,2026-05-31T10:38:30Z,9.459459,,,False,True,True,['r1'],['b1+'],[],[12],False,['5_10'],False,False,True,False
27820-BR,27820,51,1,"44.73775, 20.42909",Susedgradska,PR,95,3.0,Rakovica,"['Rakovica', 'Vidikovac']",1,450.0,cityexpert.rs_-_nekretnina_id_-_27820_-_0409_-_20230429.jpg,r,118982,BR,False,0,1,2,"['furAircon', 'furBed', 'furCable', 'furDishWasher', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furTV', 'furTub', 'furWasher']",['bldgOptsIntercom'],"[4, 99]",[3],4,[2],[],['tolBusiness'],2026-07-31T22:00:00Z,2026-05-31T10:34:17Z,4.736842,,,False,True,True,['r2'],['b1+'],[],[6],False,['10+'],False,False,True,False
78715-BR,78715,51,1,"44.83637, 20.41797",Karađorđev trg,SU,38,1.0,Zemun,"['Zemun', 'Blok 9b (Retenzija)', 'Zemunski kej', 'Zemunski kej - NBG']",1,500.0,cityexpert.rs_-_nekretnina_id_-_78715-03232-20250531.avif,r,118981,BR,False,0,1,1,"['furCable', 'furCornerSofa', 'furFridge', 'furInternet', 'furPullOutBed', 'furShower', 'furStove', 'furTV', 'furWasher']",['bldgOptsIntercom'],[4],"[3, 4]",6,[2],[],[],2026-05-30T10:29:34Z,2026-05-31T10:30:27Z,13.157895,,,False,True,True,['r2'],['b1+'],[1],[6],False,['5_10'],False,False,True,False
62415-BR,62415,51,1,"44.79665, 20.47677",Černiševskog,VPR,41,2.0,Vračar,"['Vračar', 'Čubura', 'Centar', 'Širi centar']",1,500.0,cityexpert.rs_-_nekretnina_id_-_62415_-_0058_-_20240222.jpg,r,118114,BR,False,0,1,2,"['furAircon', 'furBed', 'furFridge', 'furShower', 'furStove', 'furTV', 'furWasher']",['bldgOptsIntercom'],[4],[5],6,[2],[],[],2026-05-05T14:12:14Z,2026-05-31T10:06:20Z,12.195122,,,False,True,True,['r1'],['b1+'],[],[12],False,['5'],False,False,True,False
68221-BR,68221,51,1,"44.83806, 20.41498",22. oktobra,VPR,35,1.5,Zemun,"['Zemun', 'Blok 9b (Retenzija)', 'Zemunski kej', 'Zemunski kej - NBG']",1,450.0,cityexpert.rs_-_nekretnina_id_-_68221_-_0328_-_20241206.jpg,r,117619,BR,False,0,1,1,"['furAircon', 'furBed', 'furCable', 'furCornerSofa', 'furFridge', 'furInternet', 'furPullOutBed', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom']",[1],[3],2,[],[],[],2026-05-19T22:00:00Z,2026-05-31T09:57:51Z,12.857142,,,False,True,True,['r1'],['b1+'],[],[12],False,['5_10'],True,False,True,False
78706-BR,78706,51,1,"44.82156, 20.40305",Bulevar Arsenija Čarnojevića,5_10,86,3.0,Novi Beograd,"['Novi Beograd', 'Blok 34 (Studentski grad)', 'Centralni NBG']",1,800.0,cityexpert.rs_-_nekretnina_id_-_78706-03212-20250530.avif,r,118957,BR,False,0,1,1,"['furBed', 'furCable', 'furDishWasher', 'furFridge', 'furInternet', 'furInverter', 'furPullOutBed', 'furStove', 'furTV', 'furTub', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsSurveillance']",[1],[],3,"[2, 3]",[],['adpTerrace'],2026-05-31T22:00:00Z,2026-05-30T14:49:54Z,9.302325,,,False,True,True,['r3'],"['b1+', 'b2+']",[1],[12],False,['5_10'],False,False,True,False
78621-BR,78621,51,1,"44.74446, 20.42837",Kneza Višeslava,5_10,42,1.5,Čukarica,"['Čukarica', 'Vidikovac']",1,550.0,cityexpert.rs_-_nekretnina_id_-_78621-02910-20260529.avif,r,118807,BR,False,0,1,1,"['furAircon', 'furBed', 'furDishWasher', 'furFridge', 'furPullOutBed', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsRamp', 'bldgOptsSurveillance']","[4, 99]",[1],5,[2],[],[],2026-05-26T06:46:20Z,2026-05-30T13:47:50Z,13.095238,,,False,True,True,['r1'],['b1+'],[],[12],False,['10+'],False,False,True,False
28398-BR,28398,51,1,"44.77585, 20.42373",Kneza Višeslava,2_4,40,1.5,Čukarica,"['Čukarica', 'Banovo brdo']",1,400.0,cityexpert.rs_-_nekretnina_id_-_28398_-_0008_-_20250527.jpg,r,118646,BR,False,0,1,2,"['furAircon', 'furBed', 'furCornerSofa', 'furFridge', 'furStove', 'furTV', 'furTub', 'furWasher']",['bldgOptsIntercom'],"[1, 4]",[3],6,[3],"[1, 2, 3, 4, 5]","['adpTerrace', 'tolBusiness']",2026-05-31T22:00:00Z,2026-05-30T13:45:46Z,10.0,,,False,True,True,['r1'],['b1+'],[],[12],False,['5_10'],False,False,True,False
78703-BR,78703,51,1,"44.79998, 20.52826",Šejkina,VPR,45,2.0,Zvezdara,"['Zvezdara', 'Mirijevo', 'Mirijevo I']",1,400.0,cityexpert.rs_-_nekretnina_id_-_78703-04788-20260530.avif,r,118952,BR,False,0,1,2,"['furAircon', 'furBed', 'furCable', 'furCornerSofa', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furTV', 'furWasher']",['bldgOptsIntercom'],"[4, 99]",[3],6,[2],"[1, 2, 3, 4, 5]",['adpTerrace'],2026-05-28T22:00:00Z,2026-05-30T13:32:02Z,8.888889,,,False,True,True,['r1'],['b1+'],[],[6],False,['5_10'],False,False,True,False
14547-BR,14547,51,1,"44.76578, 20.49432",Braće Jerković,2_4,62,2.5,Voždovac,"['Voždovac', 'Braće Jerković']",1,500.0,cityexpert.rs_-_nekretnina_id_-_14547-03709-20260530.avif,r,118879,BR,False,0,2,1,"['furAircon', 'furBed', 'furFridge', 'furPullOutBed', 'furStove', 'furTV', 'furTub', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom']","[1, 4]","[3, 4]",6,[],[],['adpTerrace'],2026-05-26T22:00:00Z,2026-05-30T13:18:05Z,8.064516,,,False,True,True,['r2'],['b1+'],[],[12],False,['5_10'],False,False,True,False
78690-BR,78690,51,1,"44.80377, 20.48982",Đurićeva,1,85,3.0,Zvezdara,"['Zvezdara', 'Bulbulder', 'Širi centar', 'Zvezdara bez Mirijeva']",1,1100.0,cityexpert.rs_-_nekretnina_id_-_78690-02993-20260530.avif,r,118929,BR,False,0,1,1,"['furAircon', 'furBed', 'furDishWasher', 'furFridge', 'furPullOutBed', 'furShower', 'furStove', 'furTV', 'furTub', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsRamp', 'bldgOptsSurveillance']","[1, 1, 4]",[1],4,[2],[],['adpTerrace'],2026-05-28T14:06:38Z,2026-05-30T12:41:01Z,12.941176,,,False,True,True,['r2'],"['b1+', 'b2+']",[1],[12],False,['5'],False,False,True,False
14338-BR,14338,51,1,"44.78694, 20.48331",Đorđa Kratovca,VPR,22,0.5,Voždovac,"['Voždovac', 'Dušanovac', 'Širi centar']",1,350.0,cityexpertrs-nekretninaid-14338-8234-20160326.jpg,r,118978,BR,False,0,1,2,"['furCable', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsIntercom', 'bldgOptsSurveillance']",[4],[4],6,[2],[],[],2026-05-29T22:00:00Z,2026-05-30T10:14:14Z,15.909091,,,False,True,True,[],['b1+'],[],[12],False,['5'],False,False,True,False
12425-BR,12425,51,1,"44.80257, 20.45376",Sarajevska,2_4,67,3.0,Savski venac,"['Savski venac', 'Savski amfiteatar']",1,800.0,cityexpert.rs_-_nekretnina_id_-_12425_-_0797_-_20220817.jpg,r,118977,BR,False,0,1,2,"['furAircon', 'furBed', 'furCable', 'furDishWasher', 'furFridge', 'furInternet', 'furStove', 'furTV', 'furTub', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsSurveillance']","[1, 4]",[5],6,[3],[],"['adpLoggia', 'tolBusiness']",2026-05-30T08:27:54Z,2026-05-30T10:12:37Z,11.940298,,,False,True,True,['r2'],['b1+'],[2],[6],False,['5'],False,False,True,False
78684-BR,78684,51,1,"44.78489, 20.41605",Karpoševa,2_4,54,2.5,Čukarica,"['Čukarica', 'Banovo brdo']",1,750.0,cityexpert.rs_-_nekretnina_id_-_78684-03688-20260530.avif,r,118915,BR,False,0,1,1,"['furAircon', 'furBed', 'furCornerSofa', 'furDishWasher', 'furFridge', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsSurveillance']","[1, 1]",[1],5,[1],[],['adpTerrace'],2026-05-28T10:38:52Z,2026-05-30T10:08:05Z,13.888889,,,False,True,True,['r2'],"['b1+', 'b2+']",[],[12],False,['5_10'],False,False,True,False
78258-BR,78258,51,1,"44.7917, 20.47972",Gospodara Vučića,1,100,4.0,Vračar,"['Vračar', 'Južni bulevar', 'Lekino brdo', 'Širi centar']",1,800.0,cityexpert.rs_-_nekretnina_id_-_78258-02386-20250504.avif,r,117945,BR,False,0,1,0,"['furBed', 'furCable', 'furDishWasher', 'furFridge', 'furInternet', 'furInverter', 'furPullOutBed', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsIntercom', 'bldgOptsSurveillance']",[1],"[4, 5]",1,"[1, 2]","[1, 2, 3, 4, 5]",['adpTerrace'],2026-04-29T22:00:00Z,2026-05-30T09:47:15Z,8.0,,,True,True,True,['r2'],"['b1+', 'b2+']",[1],[12],False,['5'],False,False,True,False
78209-BR,78209,51,1,"44.82011, 20.46875",Komnen Barjaktara,1,40,1.5,Stari grad,"['Stari grad', 'Dorćol', 'Centar', 'Širi centar']",1,600.0,cityexpert.rs_-_nekretnina_id_-_78209-03450-20260428.avif,r,117833,BR,False,0,1,1,"['furAircon', 'furBed', 'furCable', 'furFridge', 'furInternet', 'furPullOutBed', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsIntercom', 'bldgOptsSurveillance']","[4, 4, 99]",[],1,[2],[],['tolBusiness'],2026-04-26T22:00:00Z,2026-05-30T09:41:54Z,15.0,,,False,True,True,['r1'],['b1+'],[1],[12],False,[],False,False,True,False
